x1,x2,x3,x4,x5,profit
0,0,0,0,0,-2256.0
0,0,0,0,1,-3891.2000000000007
0,0,1,0,0,-2328.0
0,0,1,0,1,-2328.0
0,0,1,1,0,-3963.2000000000007
0,0,1,1,1,-3963.2000000000007
0,1,0,0,0,-2528.0
0,1,0,0,1,-3491.2000000000007
0,1,1,0,0,-3200.0
0,1,1,0,1,-3200.0
0,1,1,1,0,-4163.200000000001
0,1,1,1,1,-4163.200000000001
1,0,0,0,0,-1528.0
1,0,0,0,1,-2491.2000000000007
1,0,1,0,0,-2200.0
1,0,1,0,1,-2200.0
1,0,1,1,0,-3163.2000000000007
1,0,1,1,1,-3163.2000000000007
1,1,0,0,0,3408.0
1,1,0,0,1,2904.0
1,1,1,0,0,1968.0
1,1,1,0,1,1968.0
1,1,1,1,0,1464.0
1,1,1,1,1,1464.0
