x1,x2,x3,x4,x5,profit
0,0,0,0,0,3355
0,0,0,0,1,4424
0,0,1,0,0,12631
0,0,1,0,1,12631
0,0,1,1,0,11276
0,0,1,1,1,11276
0,0,2,0,0,3456
0,0,2,0,1,8628
0,1,0,0,0,10239
0,1,0,0,1,11116
0,1,1,0,0,13801
0,1,1,0,1,13801
0,1,1,1,0,13221
0,1,1,1,1,13221
0,1,2,0,0,8537
0,1,2,0,1,9490
0,2,0,0,0,6494
0,2,0,0,1,7879
0,2,1,0,0,14530
0,2,1,0,1,14530
0,2,1,1,0,13370
0,2,1,1,1,13370
0,2,2,0,0,6008
0,2,2,0,1,7393
1,0,0,0,0,9806
1,0,0,0,1,10730
1,0,1,0,0,13988
1,0,1,0,1,13988
1,0,1,1,0,13338
1,0,1,1,1,13338
1,0,2,0,0,9320
1,0,2,0,1,10244
1,1,0,0,0,15099
1,1,0,0,1,15369
1,1,1,0,0,14767
1,1,1,0,1,14767
1,1,1,1,0,14567
1,1,1,1,1,14567
1,1,2,0,0,9867
1,1,2,0,1,13830
1,2,0,0,0,8836
1,2,0,0,1,9661
1,2,1,0,0,13266
1,2,1,0,1,13266
1,2,1,1,0,12591
1,2,1,1,1,12591
1,2,2,0,0,8654
1,2,2,0,1,9758
2,0,0,0,0,6388
2,0,0,0,1,7803
2,0,1,0,0,14548
2,0,1,0,1,14548
2,0,1,1,0,13368
2,0,1,1,1,13368
2,0,2,0,0,5902
2,0,2,0,1,7317
2,1,0,0,0,8362
2,1,0,0,1,9183
2,1,1,0,0,12556
2,1,1,0,1,12556
2,1,1,1,0,11906
2,1,1,1,1,11906
2,1,2,0,0,7876
2,1,2,0,1,8697
2,2,0,0,0,5902
2,2,0,0,1,7317
2,2,1,0,0,14062
2,2,1,0,1,14062
2,2,1,1,0,12882
2,2,1,1,1,12882
2,2,2,0,0,5416
2,2,2,0,1,6831
